date,open,close,high,low,volume
2024-08-27,6.56748666,6.38335152,6.56748666,6.3424326,9301700.0
2024-08-28,6.3424326,6.50610828,6.52656774,6.32197314,11062800.0
2024-08-29,6.32197314,6.32197314,6.4447299,6.2401353,19190400.0
2024-08-30,3.08,3.29,3.4,3.07,351834.0
2024-09-02,3.28,3.15,3.3,3.12,251308.0
2024-09-03,3.15,3.23,3.25,3.13,149939.0
2024-09-04,3.26,3.13,3.29,3.12,172406.0
2024-09-05,3.13,3.17,3.23,3.13,118581.0
2024-09-06,3.18,3.16,3.22,3.15,92914.0
2024-09-09,3.14,3.16,3.18,3.11,68777.0
2024-09-10,3.17,3.13,3.17,3.0,162793.0
2024-09-11,3.1,3.11,3.12,3.05,90664.0
2024-09-12,3.11,3.15,3.17,3.09,110111.0
2024-09-13,3.17,3.15,3.19,3.13,94173.0
2024-09-18,3.18,3.2,3.27,3.11,137818.0
2024-09-19,3.25,3.3,3.34,3.19,184214.0
2024-09-20,3.3,3.43,3.48,3.27,336823.0
2024-09-23,3.38,3.33,3.41,3.32,211422.0
2024-09-24,3.4,3.5,3.52,3.34,304453.0
2024-09-25,3.52,3.58,3.74,3.47,484114.0
2024-09-26,3.54,3.8,3.81,3.53,431015.0
2024-09-27,3.95,3.86,4.02,3.82,442343.0
2024-09-30,4.15,4.25,4.25,3.93,806901.0
2024-10-08,4.67,4.33,4.67,4.05,1098984.0
2024-10-09,4.18,3.9,4.18,3.9,415554.0
2024-10-10,3.88,3.93,4.01,3.62,654488.0
2024-10-11,3.85,3.7,3.85,3.67,351331.0
2024-10-14,3.81,3.86,3.89,3.73,381205.0
2024-10-15,3.83,3.86,3.95,3.76,324716.0
2024-10-16,3.83,4.06,4.06,3.83,502456.0
2024-10-17,4.09,3.84,4.11,3.83,418493.0
2024-10-18,3.81,3.9,3.99,3.74,356097.0
2024-10-21,3.92,3.89,3.95,3.85,320081.0
2024-10-22,3.9,3.96,4.13,3.87,474379.0
2024-10-23,3.98,3.9,4.0,3.88,320291.0
2024-10-24,3.86,3.88,3.92,3.83,220295.0
2024-10-25,3.88,3.89,3.98,3.87,222559.0
2024-10-28,3.88,3.94,3.96,3.81,425694.0
2024-10-29,3.93,3.76,3.95,3.75,409475.0
2024-10-30,3.76,3.77,3.87,3.74,301314.0
2024-10-31,3.76,3.8,3.87,3.72,356302.0
2024-11-01,3.96,3.87,4.08,3.86,841079.0
2024-11-04,3.81,3.84,3.87,3.74,358540.0
2024-11-05,3.82,3.93,3.96,3.79,467319.0
2024-11-06,3.99,4.1,4.17,3.9,835857.0
2024-11-07,4.1,4.18,4.23,4.05,644334.0
2024-11-08,4.27,4.01,4.31,4.0,597474.0
2024-11-11,3.98,3.94,4.01,3.88,501197.0
2024-11-12,3.97,4.01,4.14,3.95,540060.0
2024-11-13,3.97,3.86,4.03,3.82,441459.0
2024-11-14,3.92,3.73,3.94,3.73,370444.0
2024-11-15,3.73,3.59,3.75,3.58,322274.0
2024-11-18,3.64,3.64,3.72,3.62,366948.0
2024-11-19,3.65,3.67,3.69,3.56,250748.0
2024-11-20,3.66,3.71,3.72,3.61,208536.0
2024-11-21,3.7,3.72,3.74,3.66,175509.0
2024-11-22,3.71,3.57,3.77,3.56,276524.0
2024-11-25,3.58,3.63,3.65,3.51,196053.0
2024-11-26,3.61,3.63,3.69,3.6,197982.0
2024-11-27,3.61,3.68,3.68,3.53,166841.0
2024-11-28,3.68,3.74,3.78,3.67,233715.0
2024-11-29,3.74,3.76,3.79,3.68,202270.0
2024-12-02,3.79,3.96,3.98,3.77,434404.0
2024-12-03,3.96,3.97,3.99,3.9,294071.0
2024-12-04,3.94,3.89,3.97,3.86,229579.0
2024-12-05,3.89,3.97,3.98,3.88,204641.0
2024-12-06,3.97,4.03,4.05,3.95,274894.0
2024-12-09,4.03,3.9,4.04,3.86,313970.0
2024-12-10,4.07,3.92,4.12,3.9,319078.0
2024-12-11,3.92,4.16,4.19,3.87,682810.0
2024-12-12,4.15,4.24,4.27,4.12,486788.0
2024-12-13,4.2,4.07,4.21,4.02,656265.0
2024-12-16,4.04,3.99,4.1,3.94,298132.0
2024-12-17,3.96,3.84,3.99,3.83,271221.0
2024-12-18,3.84,3.82,3.9,3.8,209507.0
2024-12-19,3.79,3.76,3.81,3.69,183789.0
2024-12-20,3.78,4.0,4.05,3.75,654078.0
2024-12-23,4.05,3.88,4.06,3.83,428928.0
2024-12-24,3.88,3.85,3.94,3.75,302224.0
2024-12-25,3.85,3.75,3.85,3.69,212506.0
2024-12-26,3.75,3.74,3.8,3.72,162773.0
2024-12-27,3.75,3.79,3.85,3.7,192167.0
2024-12-30,3.8,3.76,3.87,3.72,207825.0
2024-12-31,3.75,3.64,3.82,3.64,173842.0
2025-01-02,3.64,3.54,3.71,3.51,189016.0
2025-01-03,3.55,3.41,3.58,3.38,234155.0
2025-01-06,3.39,3.39,3.43,3.33,154310.0
2025-01-07,3.41,3.42,3.44,3.36,163670.0
2025-01-08,3.42,3.33,3.43,3.23,284961.0
2025-01-09,3.32,3.23,3.32,3.23,210757.0
2025-01-10,3.25,3.13,3.28,3.13,200572.0
2025-01-13,3.09,3.15,3.17,3.01,183214.0
2025-01-14,3.14,3.22,3.23,3.13,281985.0
